dice,iou,precision,recall,f1,tp,fp,fn,tn,percentage
0.9525908806296102,0.9094735409619348,0.9855791513925758,0.9217393874314087,0.9525908806296102,93563,1369,7944,259044,0.9742677939876215
0.9357087044850758,0.8791847762245977,0.9599204822367577,0.9126882507164197,0.9357087044850758,14969,625,1432,344894,0.9943164235190097
0.9754112260471426,0.9520026481297583,0.9778533343636504,0.9729812852727244,0.9754112260471426,63272,1433,1757,295458,0.9911858974358975
0.9632935859486614,0.9291864822020464,0.9599143947148041,0.9666966527980809,0.9632935859486615,51581,2154,1777,306408,0.989138483642794
0.9726506225919929,0.9467573972215579,0.954393039514344,0.9916203661535659,0.9726506225919929,43548,2081,368,315923,0.9932333112290009
0.9525197462037107,0.9093438685374529,0.9814287535591347,0.9252650978925719,0.9525197462037107,69282,1311,5596,285731,0.9809156719717065
0.97275708226495,0.9469591519888645,0.9615138954950058,0.984266317956708,0.97275708226495,70753,2832,1131,287204,0.9890500663129973
0.9630586385914323,0.9287493723687767,0.9825824905506181,0.9442955458035127,0.9630586385914324,96185,1705,5674,258356,0.979611516357206
0.9745995890756606,0.9504575760771493,0.9723797307503267,0.9768296060792176,0.9745995890756605,81113,2304,1924,276579,0.988317860300619
0.9759038845179656,0.9529416914725968,0.9716568469916086,0.9801882119861317,0.9759038845179656,65307,1905,1320,293388,0.9910891909814323
0.9533183474825954,0.9108006672226856,0.9902820179548408,0.9190148253082178,0.9533183474825954,65523,643,5774,289980,0.9822695623342175
0.9641839663432207,0.9308447977381916,0.9648750238909299,0.9634938979780094,0.9641839663432207,90870,3308,3443,264299,0.9813467064544651
0.9302260869565218,0.8695539081805176,0.981791483113069,0.8838070059484467,0.9302260869565218,20058,372,2637,338853,0.9916860079575597
0.972128505675165,0.9457685236360355,0.9749543620571376,0.9693189831566535,0.972128505675165,83849,2154,2654,273263,0.9867152961980549
0.9603797409156807,0.9237793632086081,0.9633712693393881,0.9574067339878971,0.9603797409156807,102679,3904,4568,250769,0.9765915119363395
0.9651386192318026,0.9326259894976096,0.9696460402342755,0.9606729100230089,0.9651386192318026,95195,2980,3897,259848,0.9809985632183909
0.9769361312393934,0.954912162446813,0.9754803864609558,0.9783962274331222,0.9769361312393934,90667,2279,2002,266972,0.9881714190981432
0.971198800317563,0.9440101747717107,0.9767417790395079,0.9657183790421613,0.971198800317563,66059,1573,2345,291943,0.9891744031830239
0.9759563818376832,0.9530418085013529,0.9754913639070876,0.9764218433289615,0.9759563818376833,32757,823,791,327549,0.995540450928382
0.9607146947657771,0.9243993828521049,0.9835834896810507,0.938885157824043,0.9607146947657771,4194,70,273,357383,0.9990522767462423
0.9673150847677507,0.9366991523742777,0.969545995811719,0.9650944167416006,0.9673150847677507,70836,2225,2562,286297,0.9867733200707338
0.9811806770342746,0.9630566037735849,0.9846824600663632,0.9777037122169866,0.9811806770342747,51042,794,1164,308920,0.994589964633068
0.9703469096701302,0.9424017844294144,0.9672119041465126,0.9735023041474654,0.9703469096701303,78585,2664,2139,278532,0.9867291114058355
0.9764123505739621,0.9539118131422076,0.9666698006769462,0.9863532797697566,0.9764123505739623,82252,2836,1138,275694,0.9890196728558798
0.9699627331330849,0.9416773201647741,0.9618253507663947,0.9782389806086489,0.969962733133085,112699,4473,2507,242241,0.9807139699381079
0.9754180354553257,0.952015621208795,0.9686923194488531,0.9822377989175786,0.9754180354553257,82396,2663,1490,275371,0.9885250884173298
0.9685995154283504,0.9391109757240603,0.9783709888071088,0.9590212969609955,0.9685995154283505,80155,1772,3425,276568,0.9856404730327144
0.9746428815528672,0.9505399280095987,0.9881276851295792,0.9615211723455902,0.9746428815528672,21390,257,856,339417,0.9969247347480106
0.964459342200668,0.931358257096615,0.9733098219855093,0.9557683699672532,0.9644593422006679,81139,2225,3755,274801,0.9834770114942529
0.9549303078257293,0.9137479681752074,0.986606070682998,0.9252252252252252,0.9549303078257294,53404,725,4316,303475,0.986071507515473
0.9674491626794258,0.9369506349826955,0.9697401157039657,0.9651690086219756,0.9674491626794258,64703,2019,2335,292863,0.9879697170645446
0.9681784575401596,0.9383196780637503,0.9672321948162407,0.969126573572945,0.9681784575401596,64821,2196,2065,292838,0.9882266799292662
0.9745401902503804,0.9503445975989329,0.9790433219197692,0.9700782934301599,0.9745401902503804,85493,1830,2637,271960,0.9876574933687002
0.9684005833738454,0.9387370405278039,0.9752149960480836,0.9616807426537307,0.9684005833738455,82668,2101,3294,273857,0.9850933908045977
0.9710156615429281,0.943664179572387,0.9730192765631903,0.9690202811460457,0.9710156615429281,90303,2504,2887,266226,0.9851044429708223
0.9667893560684306,0.9357137015058298,0.9614809972919974,0.9721566553996639,0.9667893560684307,102965,4125,2949,251881,0.9804542440318302
0.963384133565647,0.9293549951916121,0.9678625873010246,0.9589469339726195,0.9633841335656469,109202,3626,4675,244417,0.9770639920424403
0.9618829807509053,0.9265650816963467,0.9680800649907478,0.9557647320931268,0.9618829807509053,85799,2829,3971,269321,0.981211317418214
0.9716440503865492,0.9448518781378966,0.9762489984926466,0.9670823412298049,0.9716440503865492,71890,1749,2447,285834,0.9884062776304156
0.967313199910823,0.9366956175166481,0.9722150404191875,0.9624605409094787,0.967313199910823,56405,1612,2200,301703,0.9894672855879753
0.9674883765707911,0.9370241986792742,0.9588922690075548,0.97624,0.9674883765707911,85421,3662,2079,270758,0.9841373784261715
0.9567926689576174,0.9171644413211525,0.9549986280069515,0.9585934630921777,0.9567926689576175,10441,492,451,350536,0.9973944518125553
0.96687874634316,0.9358811881188119,0.9898215632068359,0.9449754068860718,0.9668787463431598,47262,486,2752,311420,0.9910532714412025
0.9773938541398371,0.9557871895222226,0.9736130572934141,0.9812041291246495,0.9773938541398371,49332,1337,945,310306,0.9936947391688771
0.9770643753594263,0.9551572472634677,0.9762057660458985,0.9779244963602506,0.9770643753594264,57766,1408,1304,301442,0.9925066312997347
0.967394605758717,0.9368482976689463,0.949924693180632,0.9855191299101134,0.967394605758717,63701,3358,936,293925,0.9881354995579134
0.9722137590640424,0.9459299223335507,0.9768865758457064,0.9675854331544316,0.9722137590640424,31910,755,1069,328186,0.9949602122015915
0.9714770763236211,0.9445361439793178,0.9812614920562776,0.9618858600996395,0.9714770763236212,47496,907,1882,311635,0.9922938770999116
0.976271068150888,0.9536421583665678,0.9648239473048936,0.9879930783628209,0.976271068150888,55954,2040,680,303246,0.9924845269672856
0.9794397879504263,0.959707988207216,0.9786965983277975,0.9801841071377362,0.9794397879504262,34180,744,691,326305,0.9960350353669319
